driverId,week,hours-logged,miles-logged
103,30,51,100
19,32,78,1500
82,45,80,4000
108,24,55,2000
81,2,73,0
26,16,58,3300
98,48,65,2600
97,25,50,2800
27,10,61,3000
21,12,66,2300
64,32,61,3000
106,8,78,600
67,22,59,1300
27,38,57,3300
37,9,61,900
66,47,76,1700
66,44,64,1900
49,4,60,3400
94,21,71,2100
26,7,63,800
45,13,69,1500
105,17,51,200
66,39,58,2900
48,46,78,900
63,9,59,300
39,31,75,2400
66,3,60,900
34,9,53,1000
99,47,56,2600
37,28,68,2000
91,29,67,100
64,46,80,2400
76,49,64,500
99,29,72,2800
39,13,77,1600
77,2,79,3400
36,42,61,1500
67,42,67,400
50,52,60,2500
15,44,77,500
106,10,58,3500
13,18,63,400
104,15,78,2700
70,41,51,2300
68,28,72,3100
60,19,69,600
38,43,64,3500
87,30,80,500
59,27,77,3100
67,20,80,2600
108,11,71,3300
80,34,65,3400
39,5,74,1900
44,40,66,1300
68,12,74,800
100,31,64,1800
49,31,80,0
77,46,66,800
38,41,66,200
21,16,64,700
18,10,59,2600
10,10,61,1200
29,22,61,1500
49,49,55,900
19,16,72,3800
13,36,50,2100
44,43,60,2900
31,49,77,3300
51,50,51,2000
78,40,75,1100
68,10,71,3100
89,51,65,2100
32,18,65,3200
91,42,71,2200
107,9,77,2800
67,15,77,3400
55,14,66,3900
77,48,69,1800
46,14,52,3100
38,8,57,3700
20,38,72,2800
103,38,52,400
57,21,73,1700
47,1,51,900
58,24,56,1800
67,26,52,1900
14,12,65,2000
31,23,71,2100
22,17,68,1600
21,11,60,700
26,34,62,2100
53,27,71,2200
11,10,69,600
25,52,80,1900
109,22,78,3600
52,14,63,3600
95,49,56,500
13,21,57,1500
96,39,61,2700
81,4,70,3200
13,7,60,500
63,2,68,4000
28,13,75,0
88,37,72,400
66,18,72,400
45,10,55,3700
88,52,80,700
43,43,76,3600
89,47,58,2200
14,2,56,200
55,10,52,1300
107,9,61,1300
96,2,61,1100
65,11,74,200
93,43,55,2100
84,50,70,3200
97,15,58,3300
48,52,76,2800
71,11,53,200
32,25,66,2900
93,39,70,2400
76,30,64,3900
60,4,74,2800
15,29,79,3100
10,18,69,2300
63,46,59,3100
55,22,62,3400
67,51,67,2800
50,14,72,2300
50,51,54,3500
28,7,51,1300
33,25,50,1000
78,25,65,3600
36,27,80,300
61,42,79,3100
